rank,score,words,incoming,status,type,page,reasons
1,8,158,2,review,concept,00-home-and-navigation/navigation.md,"status=review(+1) 158w(+3) no-refs(+2) thin+no-illustration(+2)"
2,6,151,3,review,concept,21-references-and-glossary/further-reading.md,"status=review(+1) 151w(+3) thin+no-illustration(+2)"
3,4,183,7,review,concept,01-mathematical-foundations/matrix-decompositions.md,"status=review(+1) 183w(+3)"
4,4,193,3,review,concept,01-mathematical-foundations/constrained-optimization.md,"status=review(+1) 193w(+3)"
5,4,199,5,review,concept,01-mathematical-foundations/convex-optimization.md,"status=review(+1) 199w(+3)"
6,4,199,5,review,concept,01-mathematical-foundations/norms-and-distances.md,"status=review(+1) 199w(+3)"
7,3,202,4,review,reference,21-references-and-glossary/bibliography.md,"status=review(+1) 202w(+2)"
8,3,202,3,review,concept,21-references-and-glossary/acronyms.md,"status=review(+1) 202w(+2)"
9,3,204,8,review,concept,01-mathematical-foundations/gradients.md,"status=review(+1) 204w(+2)"
10,3,204,6,review,concept,01-mathematical-foundations/rank.md,"status=review(+1) 204w(+2)"
11,3,205,4,review,concept,21-references-and-glossary/notation.md,"status=review(+1) 205w(+2)"
12,3,207,3,review,concept,01-mathematical-foundations/linear-algebra.md,"status=review(+1) 207w(+2)"
13,3,209,5,review,concept,01-mathematical-foundations/optimization.md,"status=review(+1) 209w(+2)"
14,3,210,6,review,concept,01-mathematical-foundations/jacobians-and-hessians.md,"status=review(+1) 210w(+2)"
15,3,211,5,review,concept,01-mathematical-foundations/information-theory.md,"status=review(+1) 211w(+2)"
16,3,212,7,review,concept,01-mathematical-foundations/kl-divergence.md,"status=review(+1) 212w(+2)"
17,3,212,5,review,concept,02-probability-and-statistics/expectation-and-variance.md,"status=review(+1) 212w(+2)"
18,3,216,4,review,model,04-recommendation-systems/image-based-recommendation.md,"status=review(+1) 216w(+2)"
19,3,221,15,review,concept,04-recommendation-systems/evaluation-of-recommenders.md,"status=review(+1) 221w(+2)"
20,3,221,8,review,system-design,04-recommendation-systems/hybrid-recommenders.md,"status=review(+1) 221w(+2)"
21,3,221,7,review,concept,13-data-engineering/cloud-storage.md,"status=review(+1) 221w(+2)"
22,3,222,8,review,algorithm,01-mathematical-foundations/gradient-descent.md,"status=review(+1) 222w(+2)"
23,3,223,4,review,concept,01-mathematical-foundations/entropy.md,"status=review(+1) 223w(+2)"
24,3,225,9,review,concept,01-mathematical-foundations/numerical-stability.md,"status=review(+1) 225w(+2)"
25,3,226,9,review,concept,01-mathematical-foundations/cross-entropy.md,"status=review(+1) 226w(+2)"
26,3,226,9,review,concept,14-ml-engineering-and-mlops/production-incident-response.md,"status=review(+1) 226w(+2)"
27,3,226,5,review,concept,02-probability-and-statistics/statistical-estimation.md,"status=review(+1) 226w(+2)"
28,3,229,5,review,concept,14-ml-engineering-and-mlops/experiment-tracking.md,"status=review(+1) 229w(+2)"
29,3,230,3,review,concept,01-mathematical-foundations/vectors-and-matrices.md,"status=review(+1) 230w(+2)"
30,3,231,3,review,concept,11-generative-ai/query-rewriting.md,"status=review(+1) 231w(+2)"
31,3,232,11,review,system-design,14-ml-engineering-and-mlops/training-pipelines.md,"status=review(+1) 232w(+2)"
32,3,233,7,review,concept,02-probability-and-statistics/conditional-probability.md,"status=review(+1) 233w(+2)"
33,3,233,5,review,model,10-video-understanding/world-models.md,"status=review(+1) 233w(+2)"
34,3,233,4,review,system-design,14-ml-engineering-and-mlops/shadow-deployment.md,"status=review(+1) 233w(+2)"
35,3,234,6,review,concept,01-mathematical-foundations/matrix-multiplication.md,"status=review(+1) 234w(+2)"
36,3,235,8,review,concept,11-generative-ai/pretraining.md,"status=review(+1) 235w(+2)"
37,3,235,7,review,concept,11-generative-ai/agent-loops.md,"status=review(+1) 235w(+2)"
38,3,235,7,review,concept,11-generative-ai/data-privacy.md,"status=review(+1) 235w(+2)"
39,3,236,26,review,model,14-ml-engineering-and-mlops/model-serving.md,"status=review(+1) 236w(+2)"
40,3,238,10,review,reference,12-information-retrieval-and-search/precision-recall-map-mrr-ndcg.md,"status=review(+1) 238w(+2)"
41,3,241,13,review,concept,09-computer-vision/semantic-segmentation.md,"status=review(+1) 241w(+2)"
